Descriptor,Importance,Descriptor Type,Description,Class
SsOH,-0.0001429449694484,ElectrotopologicalStateAtomTypeDescriptor,Sum of atom-type E-State: -OH,2D
PubchemFP19,-0.0001460830935867,Element Counts,>= 2 O,FP
TDB8i,-0.0001464692292491,Autocorrelation3DDescriptor,3D topological distance based autocorrelation - lag 8 / weighted by first ionization potential,3D
n6HeteroRing,-0.0001465480667292,RingCountDescriptor,"Number of 6-membered rings containing heteroatoms (N, O, P, S, or halogens)",2D
PubchemFP38,-0.0001468415801547,Element Counts,>= 2 Cl,FP
EE_DzZ,-0.0001474472927922,BaryszMatrixDescriptor,Estrada-like index from Barysz matrix / weighted by atomic number (ln(1+x)),2D
nO,-0.0001474515477823,AtomCountDescriptor,Number of oxygen atoms,2D
ETA_Beta,-0.0001497548668452,ExtendedTopochemicalAtomDescriptor,A measure of electronic features of the molecule,2D
PubchemFP768,-0.0001498378836307,SMARTS patterns 2,Sc1c(Cl)cccc1,FP
P2v,-0.0001507241875076,PaDELWHIMDescriptor,2nd component shape directional WHIM index / weighted by relative van der Waals volumes,3D
AVP-2,-0.0001511354978958,PaDELChiPathDescriptor,"Average valence path, order 2",2D
fragC,-0.0001516382687737,PaDELFragmentComplexityDescriptor,Complexity of a system,2D
TDB4u,-0.0001517223443445,Autocorrelation3DDescriptor,3D topological distance based autocorrelation - lag 4 / unweighted,3D
SpMin8_Bhm,-0.0001523084851016,BurdenModifiedEigenvaluesDescriptor,Smallest absolute eigenvalue of Burden modified matrix - n 8 / weighted by relative mass,2D
AATS3v,-0.0001525026946252,AutocorrelationDescriptor,Average Broto-Moreau autocorrelation - lag 3 / weighted by van der Waals volumes,2D
ATS4s,-0.0001532397043645,AutocorrelationDescriptor,Broto-Moreau autocorrelation - lag 4 / weighted by I-state,2D
Sp,-0.0001535234653164,ConstitutionalDescriptor,Sum of atomic polarizabilities (scaled on carbon atom),2D
